str_name
1st_of_may
9th_of_january
alexander_matrosov
altayskaya
amurskaya
atarbekova
babushkina
baltiyskaya
belorusskaya
beregovaya
borodinskaya
bryusova
budennogo
chapaeva
chernyakhovskogo
cosmonaut_gagarin
depovskaya
dneprovskaya
donskaya
dovatora
dubinka
dunayskaya
dunaysky_passage
engelsa
eniseyskaya
festivalnaya
gertsena
glinki
industrialnaya
kalyaeva
kamskaya
karl_marx
kazanskaya
kerchenskaya
khabarovskaya
khimzavodskaya
kim
kommunarov
komsomolskaya
kotovskogo
kovtyukha
krasnaya
krasnoarmeyskaya
krasnodonskaya
krasnykh_partizan
kropotkina
krugovaya
krymskaya
lermontova
lesnaya
lugovoy_passage
lunacharskogo
malaya
maly_passage
mayakovskogo
maykopskaya
mira
montazhnikov
novgorodskaya
novgorodsky_passage
novosibirskaya
oleg_koshevoy
olimpiyskaya
oranzhereynaya
parkovaya
perederiya
peschany_passage
pionerskaya
plastunsky_passage
polina_osipenko
poltavskaya
postovaya
pugachyova
pushkina
rassvetnaya
rechnaya
rmz
rybachya
selezneva
sevastopolskaya
shevchenko
slavyanskaya
sovetskaya
stankostroitelnaya
stasova
stepan_razin
stepnaya
taganrogskaya
takhtamukayskaya
tamanskaya
temryukskaya
titarovskaya
tolbukhina
tolstogo
truda
tuapsinskaya
turgeneva
uralskaya
uritskogo
vinogradnaya
volzhskaya
vorovskogo
yaltinskaya
yuzhnaya
zakharova
