"date","weekday","day_type","hour_type","hour","weather","temp","traffic","jams","crash","address"
"2024-11-25 12:00:00","monday","workday","afternoon","12","rain","0","35095","4","1","Российская"
"2024-11-25 13:00:00","monday","workday","afternoon","13","cloudy","0","37248","4","1","Урицкого"
"2024-11-25 14:00:00","monday","workday","afternoon","14","cloudy","0","37539","4","0","0"
"2024-11-25 15:00:00","monday","workday","afternoon","15","cloudy","0","38936","4","0","0"
"2024-11-25 16:00:00","monday","workday","afternoon","16","cloudy","-1","39577","5","0","0"
"2024-11-25 17:00:00","monday","workday","afternoon","17","cloudy","-1","38121","5","0","0"
"2024-11-25 18:00:00","monday","workday","evening","18","cloudy","-1","36143","7","1","Кузнечная"
"2024-11-25 19:00:00","monday","workday","evening","19","cloudy","-1","32127","7","1","Солнечная"
"2024-11-25 20:00:00","monday","workday","evening","20","rain","-1","29915","6","0","0"
"2024-11-25 21:00:00","monday","workday","evening","21","rain","-1","23920","4","0","0"
"2024-11-25 22:00:00","monday","workday","evening","22","rain","0","19555","1","1","Российская"
"2024-11-25 23:00:00","monday","workday","evening","23","rain","0","15656","0","0","0"
"2024-11-26 00:00:00","tuesday","workday","night","0","clear","0","9370","0","1","Красная"
"2024-11-26 01:00:00","tuesday","workday","night","1","clear","0","5887","0","1","Урицкого"
"2024-11-26 02:00:00","tuesday","workday","night","2","clear","0","3084","0","1","Чапаева"
"2024-11-26 03:00:00","tuesday","workday","night","3","clear","0","2851","0","0","0"
"2024-11-26 04:00:00","tuesday","workday","night","4","cloudy","0","2386","0","1","Железнодорожная"
"2024-11-26 05:00:00","tuesday","workday","night","5","cloudy","0","4830","0","0","0"
"2024-11-26 06:00:00","tuesday","workday","morning","6","cloudy","0","9486","0","0","0"
"2024-11-26 07:00:00","tuesday","workday","morning","7","cloudy","1","16878","4","0","0"
"2024-11-26 08:00:00","tuesday","workday","morning","8","rain","1","21185","5","0","0"
"2024-11-26 09:00:00","tuesday","workday","morning","9","rain","2","26307","6","1","Кузнечная"
"2024-11-26 10:00:00","tuesday","workday","morning","10","rain","3","26598","5","0","0"
"2024-11-26 11:00:00","tuesday","workday","morning","11","rain","4","29566","4","0","0"
"2024-11-26 12:00:00","tuesday","workday","afternoon","12","rain","4","34222","4","1","Максима_Горького"
"2024-11-26 13:00:00","tuesday","workday","afternoon","13","cloudy","4","32301","5","0","0"
"2024-11-26 14:00:00","tuesday","workday","afternoon","14","cloudy","4","31778","4","1","Фадеева"
"2024-11-26 15:00:00","tuesday","workday","afternoon","15","cloudy","4","32010","5","0","0"
"2024-11-26 16:00:00","tuesday","workday","afternoon","16","cloudy","4","31021","7","1","Рашпилевская"
"2024-11-26 17:00:00","tuesday","workday","afternoon","17","cloudy","3","21243","8","0","0"
"2024-11-26 18:00:00","tuesday","workday","evening","18","cloudy","3","19963","6","0","0"
"2024-11-26 19:00:00","tuesday","workday","evening","19","cloudy","3","22814","5","0","0"
"2024-11-26 20:00:00","tuesday","workday","evening","20","rain","3","28809","3","0","0"
"2024-11-26 21:00:00","tuesday","workday","evening","21","rain","2","24793","1","0","0"
"2024-11-26 22:00:00","tuesday","workday","evening","22","rain","2","19730","0","1","Красная, Батуринская"
"2024-11-26 23:00:00","tuesday","workday","evening","23","rain","2","13502","0","3","Красных_Партизан, Кубанонабережная, им"
"2024-11-27 00:00:00","wednesday","workday","night","0","clear","2","8846","0","0","0"
"2024-11-27 01:00:00","wednesday","workday","night","1","clear","2","4772","0","0","0"
"2024-11-27 02:00:00","wednesday","workday","night","2","clear","2","3375","0","0","0"
"2024-11-27 03:00:00","wednesday","workday","night","3","clear","2","2560","0","0","0"
"2024-11-27 04:00:00","wednesday","workday","night","4","cloudy","2","2386","0","0","0"
"2024-11-27 05:00:00","wednesday","workday","night","5","cloudy","2","5354","0","0","0"
"2024-11-27 06:00:00","wednesday","workday","morning","6","cloudy","2","12571","0","0","0"
"2024-11-27 07:00:00","wednesday","workday","morning","7","cloudy","2","21301","2","0","0"
"2024-11-27 08:00:00","wednesday","workday","morning","8","rain","3","28518","5","0","0"
"2024-11-27 09:00:00","wednesday","workday","morning","9","rain","3","33407","6","1","Российская, Котовского"
"2024-11-27 10:00:00","wednesday","workday","morning","10","rain","3","36317","4","0","0"
